scenario,Mb,seed,ncore,budget_total,scheme,admitted,core_load,bsm_rounds,eff_throughput,base_cost,solve_time
Sc2,20,3,2,1000.0,NO,8,404.535,1,8.0,99.926,10.392
Sc2,20,3,2,1000.0,CAG,9,11.367,1,9.0,44.837,7.638
Sc2,20,3,2,1000.0,NA,10,2.314,1,10.0,6.26,3.417
Sc2,20,4,2,4.0,NO,8,524.801,132,0.0606,186.321,10.376
Sc2,20,4,2,4.0,CAG,8,0.0,1,8.0,7.713,0.67
Sc2,20,4,2,4.0,NA,10,2.313,1,10.0,4.957,10.427
Sc2,20,4,2,8.0,NO,8,524.801,66,0.1212,186.321,10.376
Sc2,20,4,2,8.0,CAG,9,5.35,1,9.0,10.162,0.642
Sc2,20,4,2,8.0,NA,10,1.157,1,10.0,4.885,10.39
Sc2,20,4,2,12.0,NO,8,524.801,44,0.1818,186.321,10.376
Sc2,20,4,2,12.0,CAG,9,8.712,1,9.0,9.804,0.622
Sc2,20,4,2,12.0,NA,10,4.545,1,10.0,4.999,10.418
Sc2,20,4,2,16.0,NO,8,524.801,33,0.2424,186.321,10.376
Sc2,20,4,2,16.0,CAG,10,15.529,1,10.0,11.744,0.613
Sc2,20,4,2,16.0,NA,10,5.701,1,10.0,4.644,10.46
Sc2,20,4,2,1000.0,NO,8,524.801,1,8.0,186.321,10.376
Sc2,20,4,2,1000.0,CAG,10,37.624,1,10.0,20.886,1.108
Sc2,20,4,2,1000.0,NA,10,8.282,1,10.0,5.315,10.463
Sc2,16,0,2,4.0,NO,7,472.923,119,0.0588,142.575,10.325
Sc2,16,0,2,4.0,CAG,9,2.829,1,9.0,4.478,0.877
Sc2,16,0,2,4.0,NA,10,0.0,1,10.0,3.162,10.365
Sc2,16,0,2,8.0,NO,7,472.923,60,0.1167,142.575,10.325
Sc2,16,0,2,8.0,CAG,9,2.829,1,9.0,4.478,0.824
Sc2,16,0,2,8.0,NA,10,0.0,1,10.0,2.638,10.336
Sc2,16,0,2,12.0,NO,7,472.923,40,0.175,142.575,10.325
Sc2,16,0,2,12.0,CAG,9,2.829,1,9.0,4.478,0.864
Sc2,16,0,2,12.0,NA,10,7.363,1,10.0,3.627,10.338
Sc2,16,0,2,16.0,NO,7,472.923,30,0.2333,142.575,10.325
Sc2,16,0,2,16.0,CAG,10,12.825,1,10.0,8.433,0.892
Sc2,16,0,2,16.0,NA,10,2.337,1,10.0,3.06,10.35
Sc2,16,0,2,1000.0,NO,7,472.923,1,7.0,142.575,10.325
Sc2,16,0,2,1000.0,CAG,10,12.825,1,10.0,8.433,1.536
Sc2,16,0,2,1000.0,NA,10,2.6,1,10.0,3.073,10.37
Sc2,16,1,2,4.0,NO,7,86.799,22,0.3182,36.769,10.414
Sc2,16,1,2,4.0,CAG,9,0.0,1,9.0,23.745,2.928
Sc2,16,1,2,4.0,NA,10,3.534,1,10.0,4.038,7.345
Sc2,16,1,2,8.0,NO,7,86.799,11,0.6364,36.769,10.414
Sc2,16,1,2,8.0,CAG,9,0.0,1,9.0,23.745,2.932
Sc2,16,1,2,8.0,NA,10,3.534,1,10.0,26.983,5.638
Sc2,16,1,2,12.0,NO,7,86.799,8,0.875,36.769,10.414
Sc2,16,1,2,12.0,CAG,9,11.613,1,9.0,28.559,2.962
Sc2,16,1,2,12.0,NA,10,4.674,1,10.0,6.349,9.24
Sc2,16,1,2,16.0,NO,7,86.799,6,1.1667,36.769,10.414
Sc2,16,1,2,16.0,CAG,9,11.613,1,9.0,28.559,2.947
Sc2,16,1,2,16.0,NA,10,2.337,1,10.0,7.792,3.274
Sc2,16,1,2,1000.0,NO,7,86.799,1,7.0,36.769,10.414
Sc2,16,1,2,1000.0,CAG,9,11.613,1,9.0,28.559,5.689
Sc2,16,1,2,1000.0,NA,10,16.715,1,10.0,9.11,9.193
