workload,scenario,Mb,seed,ncore,budget_total,scheme,admitted,core_load,bsm_rounds,eff_throughput,base_cost,solve_time
dense,Sc2,12,4,1,16.0,JDQC,8,0.0,1,8.0,125.462,4.325
dense,Sc2,12,4,1,16.0,CAG,7,11.367,1,7.0,190.314,5.958
dense,Sc2,12,4,1,32.0,OBL,8,0.0,1,8.0,179.068,3.722
dense,Sc2,12,4,1,32.0,JDQC,8,0.0,1,8.0,132.729,4.062
dense,Sc2,12,4,1,32.0,CAG,7,11.367,1,7.0,190.314,5.997
dense,Sc2,12,5,1,4.0,OBL,8,24.34,7,1.1429,239.954,7.189
dense,Sc2,12,5,1,4.0,JDQC,7,0.0,1,7.0,32.86,10.299
dense,Sc2,12,5,1,4.0,CAG,6,0.0,1,6.0,188.567,6.138
dense,Sc2,12,5,1,8.0,OBL,8,24.34,4,2.0,239.954,7.189
dense,Sc2,12,5,1,8.0,JDQC,7,0.0,1,7.0,36.019,10.302
dense,Sc2,12,5,1,8.0,CAG,6,0.0,1,6.0,188.567,6.13
dense,Sc2,12,5,1,16.0,OBL,8,24.34,2,4.0,239.954,7.189
dense,Sc2,12,5,1,16.0,JDQC,7,0.0,1,7.0,33.33,10.326
dense,Sc2,12,5,1,16.0,CAG,7,11.902,1,7.0,192.059,6.095
dense,Sc2,12,5,1,32.0,OBL,8,24.34,1,8.0,239.954,7.189
dense,Sc2,12,5,1,32.0,JDQC,8,21.667,1,8.0,108.82,5.23
dense,Sc2,12,5,1,32.0,CAG,7,11.902,1,7.0,192.059,6.071
dense,Sc2,12,6,1,4.0,OBL,8,22.2,6,1.3333,165.212,5.596
dense,Sc2,12,6,1,4.0,JDQC,7,0.0,1,7.0,71.898,10.305
dense,Sc2,12,6,1,4.0,CAG,7,0.0,1,7.0,215.531,6.116
dense,Sc2,12,6,1,8.0,OBL,8,22.2,3,2.6667,165.212,5.596
dense,Sc2,12,6,1,8.0,JDQC,7,0.0,1,7.0,68.758,10.299
dense,Sc2,12,6,1,8.0,CAG,7,0.0,1,7.0,215.531,6.134
dense,Sc2,12,6,1,16.0,OBL,8,22.2,2,4.0,165.212,5.596
dense,Sc2,12,6,1,16.0,JDQC,7,0.0,1,7.0,68.758,10.301
dense,Sc2,12,6,1,16.0,CAG,7,0.0,1,7.0,215.531,6.131
dense,Sc2,12,6,1,32.0,OBL,8,22.2,1,8.0,165.212,5.596
dense,Sc2,12,6,1,32.0,JDQC,8,22.2,1,8.0,218.061,4.764
dense,Sc2,12,6,1,32.0,CAG,7,0.0,1,7.0,215.531,6.138
dense,Sc2,12,7,1,4.0,OBL,8,23.269,6,1.3333,70.722,4.515
dense,Sc2,12,7,1,4.0,JDQC,7,0.0,1,7.0,35.783,10.301
dense,Sc2,12,7,1,4.0,CAG,7,0.0,1,7.0,213.591,6.008
dense,Sc2,12,7,1,8.0,OBL,8,23.269,3,2.6667,70.722,4.515
dense,Sc2,12,7,1,8.0,JDQC,7,0.0,1,7.0,35.783,10.302
dense,Sc2,12,7,1,8.0,CAG,7,0.0,1,7.0,213.591,6.126
dense,Sc2,12,7,1,16.0,OBL,8,23.269,2,4.0,70.722,4.515
dense,Sc2,12,7,1,16.0,JDQC,7,0.0,1,7.0,42.891,10.308
dense,Sc2,12,7,1,16.0,CAG,7,0.0,1,7.0,213.591,6.043
dense,Sc2,12,7,1,32.0,OBL,8,23.269,1,8.0,70.722,4.515
dense,Sc2,12,7,1,32.0,JDQC,8,23.269,1,8.0,80.73,7.629
dense,Sc2,12,7,1,32.0,CAG,7,0.0,1,7.0,213.591,6.038
dense,Sc2,12,8,1,4.0,OBL,8,22.735,6,1.3333,142.669,4.105
dense,Sc2,12,8,1,4.0,JDQC,7,0.0,1,7.0,35.445,10.303
dense,Sc2,12,8,1,4.0,CAG,6,0.0,1,6.0,176.089,5.87
dense,Sc2,12,8,1,8.0,OBL,8,22.735,3,2.6667,142.669,4.105
dense,Sc2,12,8,1,8.0,JDQC,7,0.0,1,7.0,35.308,10.303
dense,Sc2,12,8,1,8.0,CAG,6,0.0,1,6.0,176.089,5.858
dense,Sc2,12,8,1,16.0,OBL,8,22.735,2,4.0,142.669,4.105
dense,Sc2,12,8,1,16.0,JDQC,7,0.0,1,7.0,58.073,10.333
dense,Sc2,12,8,1,16.0,CAG,7,11.902,1,7.0,179.581,5.848
dense,Sc2,12,8,1,32.0,OBL,8,22.735,1,8.0,142.669,4.105
dense,Sc2,12,8,1,32.0,JDQC,8,24.348,1,8.0,131.468,3.688
dense,Sc2,12,8,1,32.0,CAG,7,11.902,1,7.0,179.581,5.852
dense,Sc2,12,9,1,4.0,OBL,8,23.809,6,1.3333,212.136,7.386
dense,Sc2,12,9,1,4.0,JDQC,7,0.0,1,7.0,59.386,10.348
dense,Sc2,12,9,1,4.0,CAG,6,0.0,1,6.0,192.619,6.16
dense,Sc2,12,9,1,8.0,OBL,8,23.809,3,2.6667,212.136,7.386
dense,Sc2,12,9,1,8.0,JDQC,7,0.0,1,7.0,42.394,10.289
dense,Sc2,12,9,1,8.0,CAG,6,0.0,1,6.0,192.619,6.166
dense,Sc2,12,9,1,16.0,OBL,8,23.809,2,4.0,212.136,7.386
dense,Sc2,12,9,1,16.0,JDQC,7,0.0,1,7.0,44.153,10.334
dense,Sc2,12,9,1,16.0,CAG,7,10.833,1,7.0,195.604,6.158
dense,Sc2,12,9,1,32.0,OBL,8,23.809,1,8.0,212.136,7.386
dense,Sc2,12,9,1,32.0,JDQC,8,23.809,1,8.0,136.36,3.566
dense,Sc2,12,9,1,32.0,CAG,7,10.833,1,7.0,195.604,6.171
