workload,scenario,Mb,seed,ncore,budget_total,scheme,admitted,core_load,bsm_rounds,eff_throughput,base_cost,solve_time
mixed,Sc2,12,2,1,4.0,JDQC,9,0.0,1,9.0,12.523,7.742
mixed,Sc2,12,2,1,4.0,CAG,8,2.499,1,8.0,6.92,1.316
mixed,Sc2,12,2,1,8.0,OBL,9,0.0,1,9.0,3.886,9.842
mixed,Sc2,12,2,1,8.0,JDQC,9,0.0,1,9.0,3.886,10.306
mixed,Sc2,12,2,1,8.0,CAG,9,7.364,1,9.0,8.829,1.332
mixed,Sc2,12,2,1,16.0,OBL,9,0.0,1,9.0,3.886,9.842
mixed,Sc2,12,2,1,16.0,JDQC,9,0.0,1,9.0,6.827,10.311
mixed,Sc2,12,2,1,16.0,CAG,9,12.495,1,9.0,10.608,1.423
mixed,Sc2,12,2,1,32.0,OBL,9,0.0,1,9.0,3.886,9.842
mixed,Sc2,12,2,1,32.0,JDQC,9,0.0,1,9.0,11.404,10.302
mixed,Sc2,12,2,1,32.0,CAG,9,12.495,1,9.0,10.608,1.594
mixed,Sc2,12,3,1,4.0,OBL,9,0.0,1,9.0,5.73,10.307
mixed,Sc2,12,3,1,4.0,JDQC,9,0.0,1,9.0,5.747,7.71
mixed,Sc2,12,3,1,4.0,CAG,8,0.0,1,8.0,21.67,3.164
mixed,Sc2,12,3,1,8.0,OBL,9,0.0,1,9.0,5.73,10.307
mixed,Sc2,12,3,1,8.0,JDQC,9,0.0,1,9.0,16.867,8.744
mixed,Sc2,12,3,1,8.0,CAG,9,5.188,1,9.0,23.827,3.151
mixed,Sc2,12,3,1,16.0,OBL,9,0.0,1,9.0,5.73,10.307
mixed,Sc2,12,3,1,16.0,JDQC,9,0.0,1,9.0,17.501,10.304
mixed,Sc2,12,3,1,16.0,CAG,9,10.641,1,9.0,25.845,3.197
mixed,Sc2,12,3,1,32.0,OBL,9,0.0,1,9.0,5.73,10.307
mixed,Sc2,12,3,1,32.0,JDQC,9,0.0,1,9.0,3.92,7.375
mixed,Sc2,12,3,1,32.0,CAG,9,10.641,1,9.0,25.845,1.873
mixed,Sc2,12,4,1,4.0,OBL,9,0.0,1,9.0,3.533,10.296
mixed,Sc2,12,4,1,4.0,JDQC,9,0.0,1,9.0,1.859,10.319
mixed,Sc2,12,4,1,4.0,CAG,8,2.58,1,8.0,9.472,1.162
mixed,Sc2,12,4,1,8.0,OBL,9,0.0,1,9.0,3.533,10.296
mixed,Sc2,12,4,1,8.0,JDQC,9,0.0,1,9.0,2.005,10.333
mixed,Sc2,12,4,1,8.0,CAG,9,7.125,1,9.0,11.271,1.167
mixed,Sc2,12,4,1,16.0,OBL,9,0.0,1,9.0,3.533,10.296
mixed,Sc2,12,4,1,16.0,JDQC,9,0.0,1,9.0,2.005,10.304
mixed,Sc2,12,4,1,16.0,CAG,9,7.125,1,9.0,11.271,1.228
mixed,Sc2,12,4,1,32.0,OBL,9,0.0,1,9.0,3.533,10.296
mixed,Sc2,12,4,1,32.0,JDQC,9,0.0,1,9.0,4.083,10.3
mixed,Sc2,12,4,1,32.0,CAG,9,7.125,1,9.0,11.271,1.344
mixed,Sc2,12,5,1,4.0,OBL,10,1.117,1,10.0,3.105,5.757
mixed,Sc2,12,5,1,4.0,JDQC,10,1.117,1,10.0,12.627,4.917
mixed,Sc2,12,5,1,4.0,CAG,10,3.453,1,10.0,5.495,1.107
mixed,Sc2,12,5,1,8.0,OBL,10,1.117,1,10.0,3.105,5.757
mixed,Sc2,12,5,1,8.0,JDQC,10,1.117,1,10.0,6.968,4.855
mixed,Sc2,12,5,1,8.0,CAG,10,3.453,1,10.0,5.495,1.11
mixed,Sc2,12,5,1,16.0,OBL,10,1.117,1,10.0,3.105,5.757
mixed,Sc2,12,5,1,16.0,JDQC,10,1.117,1,10.0,12.237,4.99
mixed,Sc2,12,5,1,16.0,CAG,10,3.453,1,10.0,5.495,1.2
mixed,Sc2,12,5,1,32.0,OBL,10,1.117,1,10.0,3.105,5.757
mixed,Sc2,12,5,1,32.0,JDQC,10,0.0,1,10.0,2.984,5.568
mixed,Sc2,12,5,1,32.0,CAG,10,3.453,1,10.0,5.495,1.242
mixed,Sc2,12,6,1,4.0,OBL,9,1.238,1,9.0,29.752,8.687
mixed,Sc2,12,6,1,4.0,JDQC,9,0.0,1,9.0,5.874,10.284
mixed,Sc2,12,6,1,4.0,CAG,9,2.337,1,9.0,23.04,3.139
mixed,Sc2,12,6,1,8.0,OBL,9,1.238,1,9.0,29.752,8.687
mixed,Sc2,12,6,1,8.0,JDQC,9,0.0,1,9.0,20.644,6.747
mixed,Sc2,12,6,1,8.0,CAG,9,2.337,1,9.0,23.04,3.153
mixed,Sc2,12,6,1,16.0,OBL,9,1.238,1,9.0,29.752,8.687
mixed,Sc2,12,6,1,16.0,JDQC,9,0.0,1,9.0,8.347,10.303
